trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_3971,ECP_3971,KFF-acpP Jvpna-21 ECP_1086,1,9
ECP_4184,murI,KFF-acpP Jvpna-21 ECP_1086,1,4
ECP_4184,murI,KFF-acpP Jvpna-21 ECP_1086 reverse,1,3
ECP_4376,ECP_4376,KFF-acpP Jvpna-21 ECP_1086,1,5
ECP_4552,ECP_4552,KFF-acpP Jvpna-21 ECP_1086 reverse,1,10
ECP_0003,thrB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_0032,carB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;7
ECP_0049,ccdA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;6
ECP_0056,ECP_0056,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_0065,araC,KFF-acpP Jvpna-21 ECP_1086,2,1;10
ECP_0089,mraY,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_0100,secA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;5
ECP_0104,coaE,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0125,acnB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_0166,erpA,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0193,accA,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0223,yafT,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_0228,ECP_0228,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_0228,ECP_0228,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_0230,ECP_0230,KFF-acpP Jvpna-21 ECP_1086,2,3;5
ECP_0291,ECP_0291,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_0294,ECP_0294,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;5
ECP_0304,ECP_0304,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_0326,ECP_0326,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;7
ECP_0327,ECP_0327,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_0328,ECP_0328,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0338,ECP_0338,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_0357,ECP_0357,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_0357,ECP_0357,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_0368,ECP_0368,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_0373,ykgD,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_0374,lutA,KFF-acpP Jvpna-21 ECP_1086,2,1;8
ECP_0374,lutA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;10
ECP_0408,prpC,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0422,ECP_0422,KFF-acpP Jvpna-21 ECP_1086,2,4;5
ECP_0473,ribD,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;9
ECP_0501,hupB,KFF-acpP Jvpna-21 ECP_1086,2,5;7
ECP_0501,hupB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;6
ECP_0503,ybaV,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_0503,ybaV,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_0527,ECP_0527,KFF-acpP Jvpna-21 ECP_1086,2,9;10
ECP_0527,ECP_0527,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_0541,ushA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_0543,ECP_0543,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_0603,cusC,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0625,entC,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_0626,entE,KFF-acpP Jvpna-21 ECP_1086,2,1;5
ECP_0626,entE,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;10
ECP_0636,ECP_0636,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_0688,ECP_0688,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_0688,ECP_0688,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_0710,pgm,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0716,ECP_0716,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_0716,ECP_0716,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_0736,sdhB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_0768,ECP_0768,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;7
ECP_0768,ECP_0768,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_0770,ECP_0770,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;3
ECP_0787,gipA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;8
ECP_0826,dps,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0833,ECP_0833,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_0852,ECP_0852,KFF-acpP Jvpna-21 ECP_1086,2,1;10
ECP_0852,ECP_0852,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_0857,ECP_0857,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_0864,ybjC,KFF-acpP Jvpna-21 ECP_1086,2,3;9
ECP_0898,ECP_0898,KFF-acpP Jvpna-21 ECP_1086,2,5;8
ECP_0898,ECP_0898,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;7
ECP_0911,ECP_0911,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_0933,mukF,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;10
ECP_0941,ECP_0941,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0949,ECP_0949,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;10
ECP_0953,rlmL,KFF-acpP Jvpna-21 ECP_1086,2,7;8
ECP_0956,pqiB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;10
ECP_0958,rmf,KFF-acpP Jvpna-21 ECP_1086,2,1;2
ECP_0958,rmf,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;10
ECP_0973,ECP_0973,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_0984,ECP_0984,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_0993,ECP_0993,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_1020,ECP_1020,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;5
ECP_1036,csgC,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_1049,ECP_1049,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;9
ECP_1168,W,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_1170,ECP_1170,KFF-acpP Jvpna-21 ECP_1086,2,5;7
ECP_1170,ECP_1170,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;6
ECP_1182,JD73_18910,KFF-acpP Jvpna-21 ECP_1086,2,6;10
ECP_1193,ECP_1193,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;2
ECP_1219,ECP_1219,KFF-acpP Jvpna-21 ECP_1086,2,7;8
ECP_1273,narK,KFF-acpP Jvpna-21 ECP_1086,2,1;8
ECP_1284,ECP_1284,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;5
ECP_1336,ECP_1336,KFF-acpP Jvpna-21 ECP_1086,2,8;10
ECP_1351,ECP_1351,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_1408,ynbE,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;10
ECP_1421,ECP_1421,KFF-acpP Jvpna-21 ECP_1086,2,4;5
ECP_1455,NA,KFF-acpP Jvpna-21 ECP_1086,2,4;6
