"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2638",0.116917862855821,5.81483781097045,0.0963872078051003,0.759982060687696,0.927631110264625,"ECP_2638"
"ECP_0881",-0.0565808403841573,4.91073259832782,0.0956775503879895,0.760236377462583,0.92769466970494,"ECP_0881"
"ECP_2349",-0.0515753263124714,4.61259386055461,0.0948979087551928,0.76118320953992,0.928136778408173,"ECP_2349"
"ECP_3149",0.0514025810626725,4.60237162427254,0.094879429669817,0.761205703154905,0.928136778408173,"ECP_3149"
"ECP_4679",0.150563983682555,6.66937682944708,0.0957217761739008,0.760961513227736,0.928136778408173,"ECP_4679"
"ECP_4384",0.0520833008266655,5.47029572256078,0.0947022878535835,0.761421450798346,0.928153121129952,"ECP_4384"
"ECP_3428",0.0279653521253465,6.16330385365763,0.0942300329417627,0.761997713487691,0.928608796962816,"ECP_3428"
"ECP_0033",-0.193841367000354,2.01419602481603,0.0926461744648195,0.763959665072704,0.929083312137892,"ECP_0033"
"ECP_0833",0.0238091002328818,8.38827161702851,0.0923223933673786,0.764341772885373,0.929083312137892,"ECP_0833"
"ECP_1325",0.0331669827600753,10.1999093669372,0.0928479566471562,0.763693342776402,0.929083312137892,"ECP_1325"
"ECP_1503",0.133453214181739,2.87811593977307,0.093312694536692,0.76316395313579,0.929083312137892,"ECP_1503"
"ECP_1843",-0.136633653436635,0.791510237930859,0.0922651169832515,0.764412561588926,0.929083312137892,"ECP_1843"
"ECP_2068",-0.0418554370688399,6.26672550399404,0.0928012165333315,0.763750928174182,0.929083312137892,"ECP_2068"
"ECP_2835",-0.108998960604416,3.99966426175694,0.0937489340537241,0.762787653051834,0.929083312137892,"ECP_2835"
"ECP_3993",-0.0663246469535724,3.46388589489771,0.0925523101790258,0.764057857441245,0.929083312137892,"ECP_3993"
"ECP_4083",-0.0724116301026497,3.36722836339585,0.0928053137316,0.763745879651613,0.929083312137892,"ECP_4083"
"ECP_4517",0.185854252310229,1.19869000236479,0.0928788653049782,0.763655271000111,0.929083312137892,"ECP_4517"
"ECP_0433",-0.0332130864260861,5.9005790125218,0.0895878809905509,0.767748658272955,0.929198705936159,"ECP_0433"
"ECP_0478",0.0471967467202819,4.93158897496591,0.0905564222632489,0.766535540406839,0.929198705936159,"ECP_0478"
"ECP_0557",0.0681247297598805,3.48828036169944,0.0904642366205106,0.766650698189214,0.929198705936159,"ECP_0557"
"ECP_0771",-0.0364059324463129,5.3325744996501,0.0904697528124048,0.766643805587605,0.929198705936159,"ECP_0771"
"ECP_0910",-0.0577863641918104,3.37046616090835,0.0901274451549417,0.767071962943195,0.929198705936159,"ECP_0910"
"ECP_1428",-0.0806784727018465,3.77018528693897,0.0909010073923,0.766105653830989,0.929198705936159,"ECP_1428"
"ECP_1507",0.0745208310844066,3.65646572636185,0.0903449518142218,0.766799803445175,0.929198705936159,"ECP_1507"
"ECP_1520",0.058763193871384,3.23614819451059,0.0896113056576523,0.767719233977469,0.929198705936159,"ECP_1520"
"ECP_1639",-0.0708640238652395,2.61521945771076,0.111634000747812,0.767197077817727,0.929198705936159,"ECP_1639"
"ECP_2178",-0.0861547231313136,2.7744576534695,0.0915023909040684,0.765357530992763,0.929198705936159,"ECP_2178"
"ECP_2253",0.0710752074453343,5.14955692882415,0.091465026516644,0.765445801507834,0.929198705936159,"ECP_2253"
"ECP_2723",-0.025876100951772,10.1241878739875,0.0914397284728029,0.765435357317768,0.929198705936159,"ECP_2723"
"ECP_2810",-0.0751466989811727,3.20662371097946,0.089595534920146,0.767739043522701,0.929198705936159,"ECP_2810"
