"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_4123",1.96865667849572,8.54895151269362,118.256672275632,4.3939098597315e-11,3.95193422089968e-09,"ECP_4123"
"ECP_2552",-0.938347311709059,9.15952072170768,97.042351316844,7.493294234623e-11,6.60995012581071e-09,"ECP_2552"
"ECP_3811",-1.3288763071752,6.50141320761434,96.0225862530662,8.45517456537599e-11,7.31771428893956e-09,"ECP_3811"
"ECP_0356",1.782899505657,6.14590889303385,95.835802387318,8.64522213883717e-11,7.34363591682335e-09,"ECP_0356"
"ECP_0950",-1.19289375367791,6.29735285343094,95.4129868046742,9.09248223387027e-11,7.58313018304781e-09,"ECP_0950"
"ECP_0060",-1.32185106872557,9.09589109326213,92.905371834021,1.2307371284139e-10,1.00810557286332e-08,"ECP_0060"
"ECP_0123",-1.20046182885389,11.0551888100172,92.1032171476934,1.35769122543961e-10,1.09258414931429e-08,"ECP_0123"
"ECP_1541",1.64393431407236,5.0520476535526,91.7827103519965,1.41226456208442e-10,1.11690647349677e-08,"ECP_1541"
"ECP_3090",-1.46716188741461,7.81494345457631,90.9741179293675,1.560627030131e-10,1.21332138766287e-08,"ECP_3090"
"ECP_1334",-1.08686281519399,7.42220569541679,90.8045019411449,1.59381111254971e-10,1.21846859554425e-08,"ECP_1334"
"ECP_0539",-1.28738127597175,7.28561376132429,90.583252763483,1.63823361499425e-10,1.23189796589813e-08,"ECP_0539"
"ECP_3339",2.04482700319413,4.88217168652581,89.3380979923737,1.91418815618597e-10,1.41619049555243e-08,"ECP_3339"
"ECP_1016",-1.85936135688693,6.19363987082417,89.155641549092,1.95862711012965e-10,1.42606707208963e-08,"ECP_1016"
"ECP_1018",-1.75455765583773,6.6211756418035,89.004954989837,1.9961588445293e-10,1.43068447185249e-08,"ECP_1018"
"ECP_2214",-1.08286235394678,7.46860131762518,86.7572431176885,2.65725186998199e-10,1.85065187576966e-08,"ECP_2214"
"ECP_2776",-1.03827683261263,7.13598170303384,86.7409897197993,2.66280845434484e-10,1.85065187576966e-08,"ECP_2776"
"ECP_2949",1.14669392441563,6.66690205342217,84.4021280329211,3.60782059645901e-10,2.47001090685932e-08,"ECP_2949"
"ECP_0267",-0.976535894653413,8.52713668709795,83.5367971451446,4.04337395309336e-10,2.72749357688813e-08,"ECP_0267"
"ECP_2128",-1.49108102633589,5.63384886699886,83.2844414905854,4.18072502981014e-10,2.77927329155639e-08,"ECP_2128"
"ECP_4181",1.13370452190498,7.14582032941436,78.5945329429626,7.88915686397334e-10,5.16965179072082e-08,"ECP_4181"
"ECP_1532",1.14140480589165,8.22766748741824,78.4477691597316,8.0511023870295e-10,5.20146572525413e-08,"ECP_1532"
"ECP_1344",2.06201005939782,4.87568217206496,78.1687559198998,8.36884953169499e-10,5.33165455581735e-08,"ECP_1344"
"ECP_2640",-1.14087393300711,8.01756037518828,77.6225694312761,9.03028763991633e-10,5.67423690469811e-08,"ECP_2640"
"ECP_0031",-1.14204093693416,7.27956707257527,76.7668761119487,1.01812961699648e-09,6.29502938951165e-08,"ECP_0031"
"ECP_0164",1.10215102972261,10.3324696976704,76.6895824355369,1.02927230044337e-09,6.29502938951165e-08,"ECP_0164"
"ECP_0849",-0.95667880082357,8.48033724382995,76.0228102611488,1.13098054228344e-09,6.82606282559754e-08,"ECP_0849"
"ECP_0201",1.12095423977398,6.51871732634119,75.8484052306067,1.15931914996593e-09,6.82734908098704e-08,"ECP_0201"
"ECP_3889",1.41704059262276,5.79136313216504,75.838435148311,1.16096191043599e-09,6.82734908098704e-08,"ECP_3889"
"ECP_1862",-1.5593233666387,5.7560959780401,75.4082156688799,1.23427139279349e-09,7.16658592246041e-08,"ECP_1862"
"ECP_4219",-1.19655134368907,6.88862153953705,73.634442968929,1.59306427967439e-09,9.13423231358304e-08,"ECP_4219"
"ECP_2114",1.50923028167844,4.95687918892206,73.1943938722532,1.6983479751666e-09,9.61768168159158e-08,"ECP_2114"
"ECP_2538",-1.06852775934176,9.10286303371889,72.7436916362341,1.81392208678884e-09,1.00543051028994e-07,"ECP_2538"
"ECP_4495",-1.54923910738096,4.32368125232355,72.7235179725804,1.81928782110454e-09,1.00543051028994e-07,"ECP_4495"
"ECP_3175",-1.16300007826155,7.41660713187701,72.1565230676415,1.97724530346112e-09,1.07045774595149e-07,"ECP_3175"
"ECP_3270",-1.05287145745632,9.44278408935996,72.1346477925684,1.98362564652009e-09,1.07045774595149e-07,"ECP_3270"
"ECP_2535",-0.873512583876491,10.0811603442106,71.9011313805631,2.05312189596441e-09,1.09507792288242e-07,"ECP_2535"
"ECP_1452",-1.55489182000171,7.81930439097709,80.6319684902262,2.49577329394753e-09,1.31587495394682e-07,"ECP_1452"
"ECP_1769",2.03774660282134,8.40967226765844,102.096490052126,2.90304700335452e-09,1.51321325049854e-07,"ECP_1769"
"ECP_0165",1.01138254750498,7.63697644646198,68.9727906077873,3.18408152980375e-09,1.64105415474268e-07,"ECP_0165"
"ECP_1867",-2.80885890400583,8.99470568318316,128.356645789942,3.80954893490952e-09,1.94160010715889e-07,"ECP_1867"
"ECP_0048",0.892501688486741,8.48580638761255,65.7306488709729,5.25799132074215e-09,2.65037430640047e-07,"ECP_0048"
"ECP_1689",3.22511016313647,6.77111090901655,115.254440364116,5.89877478415369e-09,2.94105216683837e-07,"ECP_1689"
"ECP_3282",0.801830876461872,8.831709043035,63.8402824990495,7.1014071471745e-09,3.50259726710639e-07,"ECP_3282"
"ECP_0474",-0.918119791171324,8.60867933549383,63.2842846746526,7.76689659753696e-09,3.79008028647894e-07,"ECP_0474"
"ECP_3098",-0.882450006071049,7.80057080073292,63.05588399796,8.05930513981639e-09,3.89137186066713e-07,"ECP_3098"
"ECP_4447",-0.914898174290983,10.9383215604399,62.9816193085955,8.15689732966098e-09,3.89746750532864e-07,"ECP_4447"
"ECP_3615",1.46875706916572,5.36192529649387,62.8370937706155,8.35045698498511e-09,3.94881919485842e-07,"ECP_3615"
"ECP_0179",-0.839574600680466,8.89924568232483,62.5486156542038,8.75163203287235e-09,4.09629960559035e-07,"ECP_0179"
"ECP_0059",-1.24744580457081,6.53781744192857,62.4621325166512,8.87587383798059e-09,4.11248821159767e-07,"ECP_0059"
"ECP_2382",-0.857975046896807,10.2027681903089,62.3561590407307,9.03068941963705e-09,4.14237723678751e-07,"ECP_2382"
"ECP_2620",-0.982612154951144,7.02185088044509,61.2466636514887,1.08362700227648e-08,4.9213832271705e-07,"ECP_2620"
"ECP_4218",-1.03328998797224,6.70924486466319,61.1722660411015,1.09704164873305e-08,4.9334608262142e-07,"ECP_4218"
"ECP_4783",1.05707609310283,6.84802969015792,59.4124784745577,1.47208924992451e-08,6.55579940718808e-07,"ECP_4783"
"ECP_1741",-1.10532861316075,5.84229945411743,59.2836374327813,1.5044768689147e-08,6.63561095933819e-07,"ECP_1741"
"ECP_1422",1.02800901634088,7.2046468319961,58.6352337029793,1.6794380041592e-08,7.33674488102693e-07,"ECP_1422"
"ECP_0412",-0.967539448757364,6.40232933327078,58.3991521367554,1.74843363575335e-08,7.5660991388685e-07,"ECP_0412"
"ECP_0171",1.8613809295078,10.2547671874282,79.5151048019603,1.82913360549707e-08,7.77836278992202e-07,"ECP_0171"
"ECP_4265",-0.968231140655486,7.69642262231987,58.1281058659076,1.83140000285934e-08,7.77836278992202e-07,"ECP_4265"
"ECP_3145",1.26687858096316,7.6440555155271,58.2565864584229,2.28224712726919e-08,9.60428217686585e-07,"ECP_3145"
"ECP_2352",-0.965465347702823,7.3208510807028,56.6563401796204,2.36174522260998e-08,9.84847757828362e-07,"ECP_2352"
"ECP_1531",1.16472377324414,8.11492436889054,58.348924997689,2.44837512119319e-08,1.00481172161454e-06,"ECP_1531"
"ECP_4491",1.00261173436979,8.50793386642704,56.4381143954626,2.45343171617242e-08,1.00481172161454e-06,"ECP_4491"
"ECP_3156",-0.864914471732829,9.57932927128857,56.3250175838354,2.50243793009989e-08,1.01581263587329e-06,"ECP_3156"
"ECP_1947",-1.55660427780221,3.86859058013429,56.1485403650134,2.58100792536117e-08,1.0385160836519e-06,"ECP_1947"
"ECP_2510",-0.853487456256716,8.65966053211112,56.067790449573,2.61783374637691e-08,1.04417420822877e-06,"ECP_2510"
"ECP_4591",-1.03200116746669,7.03872892483232,55.631165450778,2.82692194588671e-08,1.11785266946399e-06,"ECP_4591"
"ECP_1346",2.49562809291258,4.00041126731901,54.8557890407868,3.24347518195354e-08,1.2716086033864e-06,"ECP_1346"
"ECP_2453",1.19063945318576,6.91736318824267,54.7751547677625,3.29041645665448e-08,1.27907968531136e-06,"ECP_2453"
"ECP_0411",-1.22671874168598,5.40181347649808,54.6652815283357,3.3555506995584e-08,1.29343790410709e-06,"ECP_0411"
"ECP_2501",-0.911306246292299,7.48437033980852,54.3375567951326,3.55814394063094e-08,1.36010052130618e-06,"ECP_2501"
"ECP_2567",-1.03849572720434,5.73427645443732,54.257541548553,3.60956668753519e-08,1.36835391700198e-06,"ECP_2567"
"ECP_2335",-0.852661237220601,11.5135977493289,54.1525929448978,3.67821974721628e-08,1.38295032626894e-06,"ECP_2335"
"ECP_4768",-0.878462463912086,9.10965351387596,54.0311273144019,3.7594230366903e-08,1.40198971295109e-06,"ECP_4768"
"ECP_1776",0.789082825394396,7.37657009133101,53.9658551926502,3.80384844374935e-08,1.40711716221599e-06,"ECP_1776"
"ECP_1751",-1.11431430906611,6.23502868485138,53.7677777928253,3.94213056241164e-08,1.44660423118258e-06,"ECP_1751"
"ECP_1513",-0.942197004860094,8.45861202202006,53.4171420672693,4.20025526296614e-08,1.52909292787505e-06,"ECP_1513"
"ECP_1045",1.16065482760478,5.24663896484132,53.1560639983172,4.404155322069e-08,1.59069767419925e-06,"ECP_1045"
"ECP_2351",-0.855757756393,7.8307667522859,53.0808677365657,4.464825369758e-08,1.60001202899062e-06,"ECP_2351"
"ECP_2115",1.24850054929815,5.38019721724176,53.0212042606574,4.51359828746989e-08,1.60495157710267e-06,"ECP_2115"
"ECP_3697",1.03015596551631,6.14213026152384,52.6756906500505,4.80746810625337e-08,1.69629663102956e-06,"ECP_3697"
"ECP_0482",-0.858834093651549,7.4350081643644,52.4850442512288,4.97831162840451e-08,1.74316911751844e-06,"ECP_0482"
"ECP_2566",-0.959617749999917,6.5896657226715,52.2655091158689,5.18311250849026e-08,1.80113159670036e-06,"ECP_2566"
"ECP_3279",0.757339700772489,8.64653762198555,51.6925966818153,5.7611602438153e-08,1.98695052920156e-06,"ECP_3279"
"ECP_1291",1.39389322572412,5.03069810803481,51.1715998637266,6.34683948992297e-08,2.17260841345348e-06,"ECP_1291"
"ECP_2303",2.40964030828843,6.6269140430177,78.6976408087185,6.5334759562983e-08,2.21273861817679e-06,"ECP_2303"
"ECP_2485",0.765361578171997,9.18068630638884,50.9941758689841,6.56055051388802e-08,2.21273861817679e-06,"ECP_2485"
"ECP_0854",0.935484080012273,6.85188077148928,50.6893007482093,6.94593813049037e-08,2.32562176675615e-06,"ECP_0854"
"ECP_0032",-0.915334542732859,8.2234409370242,50.5875468613503,7.0798890971815e-08,2.33764761622864e-06,"ECP_0032"
"ECP_0475",-0.860157914762642,7.69066336601519,50.5846215160018,7.08378065523832e-08,2.33764761622864e-06,"ECP_0475"
"ECP_0071",-0.898112818730155,7.00466117869034,50.4107546369176,7.31922824056186e-08,2.39809285281837e-06,"ECP_0071"
"ECP_3073",-0.864132665768377,6.84808355477144,49.6646529493656,8.42875760074472e-08,2.74203624926355e-06,"ECP_3073"
"ECP_2222",1.09278468908598,6.75023906100233,49.2636338065658,9.09821126669197e-08,2.93897852678282e-06,"ECP_2222"
"ECP_2610",-0.740198838025484,11.3950946783606,49.1066342799085,9.37558115088473e-08,3.00739795378379e-06,"ECP_2610"
"ECP_1545",1.89809427633545,4.55330527085141,48.8569026120003,9.83555774061743e-08,3.13303495529251e-06,"ECP_1545"
"ECP_3271",-0.72672523195198,8.38348916077606,48.6353909608047,1.02637563844955e-07,3.24688624384005e-06,"ECP_3271"
"ECP_0024",-0.819938424784255,9.84691393325142,48.557007377612,1.04200118534592e-07,3.26574346925539e-06,"ECP_0024"
"ECP_1861",0.97598419348998,6.06277679327153,48.5342971711959,1.0465757357326e-07,3.26574346925539e-06,"ECP_1861"
"ECP_2125",-0.822842009812265,8.21924719402661,48.0470198673896,1.15007940315774e-07,3.56446906911119e-06,"ECP_2125"
"ECP_1300",-1.2448861161469,6.59458193846985,47.998659427118,1.16093281793168e-07,3.57395895023667e-06,"ECP_1300"
"ECP_1343",1.37982395421993,5.97073808423052,48.1227261077022,1.21463735467254e-07,3.71436103058861e-06,"ECP_1343"
"ECP_3586",1.01482126768517,6.3202919099977,47.6352672874063,1.2460733802501e-07,3.78525734781934e-06,"ECP_3586"
"ECP_2215",1.41219288479481,9.20132347607555,58.5168741780933,1.36426919755909e-07,4.11704132184445e-06,"ECP_2215"
"ECP_0028",-1.43104043762138,4.53103801746014,46.8938566542014,1.44118000395239e-07,4.32071416871217e-06,"ECP_0028"
"ECP_0200",1.30957492456757,6.094799044556,46.797820476074,1.46874851312862e-07,4.37477235696168e-06,"ECP_0200"
"ECP_2935",-0.752762298813612,9.66663380108552,46.7411284552043,1.48528675083214e-07,4.39549053294647e-06,"ECP_2935"
"ECP_0435",1.07603801042947,6.79760064506104,46.2972177890195,1.62187250988669e-07,4.76892897618605e-06,"ECP_0435"
"ECP_3336",0.804882660409596,6.97369979925209,46.0877058221089,1.69094313751024e-07,4.94035424952834e-06,"ECP_3336"
"ECP_1345",2.10835216363205,5.42389923452767,55.304308666469,1.70502018521002e-07,4.94995417060655e-06,"ECP_1345"
"ECP_3280",0.951795215353295,8.37864396814256,45.7573757967465,1.80630565124949e-07,5.21102139766126e-06,"ECP_3280"
"ECP_2639",-1.58580158645057,6.36557172792745,45.4831602026441,1.90846009156226e-07,5.47131652499755e-06,"ECP_2639"
"ECP_3438",-0.814077324265914,10.4163186948573,45.2901808947141,1.98404254191609e-07,5.65267275762058e-06,"ECP_3438"
"ECP_0826",1.00407854252379,8.779441312998,46.6191637141141,2.0230853287919e-07,5.69318552341623e-06,"ECP_0826"
"ECP_3964",0.937965886437075,6.84921229721777,45.2231637476842,2.01103343447531e-07,5.69318552341623e-06,"ECP_3964"
