"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_1124",2.10663171372303,8.94872233971818,434.060533263061,3.12590751004723e-19,7.16926887429332e-16,"ECP_1124"
"ECP_1125",2.11982671286152,9.084606476999,441.759929552381,2.44863058475282e-19,7.16926887429332e-16,"ECP_1125"
"ECP_4492",2.15068345053599,10.7693594809996,383.878669636889,1.70886052152097e-18,2.61284773740557e-15,"ECP_4492"
"ECP_1552",2.42590228061255,8.4290775849022,342.124631995037,8.28906332633445e-18,9.50548336947403e-15,"ECP_1552"
"ECP_4364",2.80391373832869,6.26449218191449,312.898538927256,2.79373208379473e-17,2.56296981367329e-14,"ECP_4364"
"ECP_2057",-2.3386258964964,9.25324331107974,296.430108251139,5.80498058755227e-17,4.43790765918371e-14,"ECP_2057"
"ECP_1553",2.50874350947466,7.87900446521159,274.419127804955,1.63841752781384e-16,1.07363160001173e-13,"ECP_1553"
"ECP_0855",2.08074337538973,8.28664877202783,264.019019973249,2.74703665143253e-16,1.57508214001513e-13,"ECP_0855"
"ECP_1597",-2.34806651161547,7.19847449271064,255.153515650376,4.33092360600359e-16,2.20732739785983e-13,"ECP_1597"
"ECP_0898",-2.22451249244758,10.007233150205,247.667896785604,6.43274506617214e-16,2.95070016185316e-13,"ECP_0898"
"ECP_1587",1.75473868838207,10.9262037159624,238.413781703133,1.06502746843859e-15,4.07106749810651e-13,"ECP_1587"
"ECP_2562",2.15838987835099,6.37080041615208,239.719772885786,9.90839355811386e-16,4.07106749810651e-13,"ECP_2562"
"ECP_0689",1.56288916271828,8.25483022904486,226.986520851235,2.03455495600507e-15,7.17565338522984e-13,"ECP_0689"
"ECP_1481",1.70548970102204,9.75659293381424,225.717466794805,2.19008387602393e-15,7.17565338522984e-13,"ECP_1481"
"ECP_1339",1.55175980463182,8.67008453949563,220.266603487184,3.01794975728315e-15,9.22889035777188e-13,"ECP_1339"
"ECP_0178",-2.16409149378051,12.2944315719171,202.967096622226,8.76562887366975e-15,2.5129962277202e-12,"ECP_0178"
"ECP_1017",-2.46115769807331,7.42182422969636,199.643237257863,1.08570337165163e-14,2.92948315633294e-12,"ECP_1017"
"ECP_0653",2.72581558747287,5.88567976669698,190.826108405538,1.94509021331286e-14,4.69585726761372e-12,"ECP_0653"
"ECP_2336",-1.77275789363201,10.5881223288551,191.547160226242,1.85290011795207e-14,4.69585726761372e-12,"ECP_2336"
"ECP_2351",-1.617741170989,7.8307667522859,180.45894337309,3.98153763466969e-14,8.69681577629993e-12,"ECP_2351"
"ECP_2499",-2.24185229629983,6.21134301943885,180.71646640992,3.90964514953651e-14,8.69681577629993e-12,"ECP_2499"
"ECP_2895",1.34924697270648,8.9537310154601,178.614162109473,4.53969339146947e-14,9.46526072121385e-12,"ECP_2895"
"ECP_4180",1.55319213375051,8.88475003446687,174.435586139598,6.13736214360035e-14,1.22400348489977e-11,"ECP_4180"
"ECP_1532",1.71434784128085,8.22766748741824,172.344511440941,7.15372060034406e-14,1.36725484974076e-11,"ECP_1532"
"ECP_0609",1.32624726785349,9.28694646516362,166.40682781343,1.11520155625133e-13,1.94424300278306e-11,"ECP_0609"
"ECP_1662",-1.58127862536498,9.11852436055583,166.573954586972,1.10114902998417e-13,1.94424300278306e-11,"ECP_1662"
"ECP_2056",-1.88397825741652,7.83188926664337,166.066412803139,1.14442034172973e-13,1.94424300278306e-11,"ECP_2056"
"ECP_1599",-1.6665347941479,8.43435199000608,159.763721155408,1.862849483394e-13,3.05174663583152e-11,"ECP_1599"
"ECP_0164",1.59803701707196,10.3324696976704,157.335990730128,2.25724315713179e-13,3.45132478725451e-11,"ECP_0164"
"ECP_2846",1.81590887919962,7.15620120794019,157.488921718687,2.22993682535927e-13,3.45132478725451e-11,"ECP_2846"
"ECP_0179",-1.35917437825849,8.89924568232483,155.048092782225,2.71131212601427e-13,4.01186732968627e-11,"ECP_0179"
"ECP_0356",2.27989351408598,6.14590889303385,153.797820376763,2.99985374347357e-13,4.30010285041039e-11,"ECP_0356"
"ECP_0853",1.75173460030031,7.40959391873811,152.483042797789,3.33897465567139e-13,4.64117477138323e-11,"ECP_0853"
"ECP_4350",-2.32712623782985,6.35022726198903,147.901717206793,4.87946766079083e-13,6.58297592942575e-11,"ECP_4350"
"ECP_0421",-1.70705067193342,7.012641326854,139.891930364879,9.70510218819671e-13,1.27192296392167e-10,"ECP_0421"
