acpP_3
acpP-scr_3
tnaB_3
dnaB_3
ftsZ_3
rpoD_3
pyrH_3
yidC_3
adk_3
rnpA_3
nusG_3
rpsH_3
rplS_3
csrA_3
ispH_3
control_3
control_1
acpP-scr_1
acpP_1
tnaB_1
dnaB_1
ftsZ_1
rpoD_1
pyrH_1
yidC_1
adk_1
rnpA_1
nusG_1
rpsH_1
rplS_1
csrA_1
control_2
acpP-scr_2
acpP_2
tnaB_2
dnaB_2
ftsZ_2
rpoD_2
pyrH_2
yidC_2
adk_2
rnpA_2
nusG_2
rpsH_2
rplS_2
csrA_2
control_1_col
acpP-scr_1_col
acpP_1_col
clbA1_1_col
clbA2_1_col
clbP_1_col
clbQ_1_col
ispH_3a
control_3a
ispH_3b
control_3b
