"","control_1","control_2","control_3","genename"
"ECP_1618",3.27789451105281,2.50102081585248,2.23779704522006,"ECP_1618"
"ECP_1619",2.95843644149578,1.06677170253628,1.38441605507746,"ECP_1619"
"ECP_1620",1.22253904190085,1.00188829850444,0.970747129589043,"ECP_1620"
"ECP_1621",0.844216025697647,0.889517770231424,0.759721876378538,NA
"ECP_1622",99.7432619912529,60.7893620310218,49.2547848342722,"ECP_1622"
"ECP_1623",270.673070765899,238.863096904066,303.903741117247,"ECP_1623"
"ECP_1624",46868.57619679,54506.6989135057,14479.8730799021,"ECP_1624"
"ECP_1625",11.8129042435893,10.1741360883684,25.1884249231039,"ECP_1625"
"ECP_1626",8.88552550788243,6.24155634459748,13.0550357379745,"ECP_1626"
"ECP_1627",12.571973788092,9.33860097516234,23.8535069448273,"ECP_1627"
"ECP_1628",17.0615262363282,10.1334162755504,28.8353871616977,"ECP_1628"
"ECP_1629",10.9326701847661,9.45722909126904,27.8756470923196,"ECP_1629"
"ECP_1630",16.0077655679161,10.1200580189837,35.8997032396443,"ECP_1630"
"ECP_1631",20.0827324487099,13.7710528872865,37.4363763636611,"ECP_1631"
"ECP_1632",10.0023327307714,7.21340865524531,21.2429262077636,"ECP_1632"
"ECP_1633",13.9828230992507,12.5145699596144,18.212727776791,"ECP_1633"
"ECP_1634",10.3890765085854,8.65589732512954,12.3321403586661,"ECP_1634"
"ECP_1635",15.8301069708888,18.8748797659978,32.7713066921176,"ydiK"
"ECP_1636",0.847256419547699,0,0.381228984785389,NA
"ECP_1637",0.311183684957334,0.714054594155596,0.728100295633329,"ydiM"
"ECP_1638",0.298647849307394,0.342644680844806,0.322508880493801,NA
"ECP_1639",4.18644348482392,2.50166185668699,2.66860289349772,"aroE"
"ECP_1640",14.6453127936244,12.8185097033833,18.9175465987675,"aroD"
"ECP_1641",1.27924571240919,0.931875759290063,0.980661401651888,"ydiF"
"ECP_1642",2.22597368408441,1.87787084826634,2.12101944262416,"ydiO"
"ECP_1643",1.16079703533427,2.31027531990662,1.7161574528908,"ECP_1643"
